"dwc.preparations","freq"
"EtOH - 32|skeleton - 1",5
"EtOH - 321",5
"EtOH - 325",5
"EtOH - 332",5
"EtOH - 339",5
"EtOH - 359",5
"EtOH - 36|C&S - 5",5
"EtOH - 383",5
"EtOH - 384",5
"EtOH - 389",5
"EtOH - 398",5
"EtOH - 40|C&S - 2",5
"EtOH - 403",5
"EtOH - 406",5
"EtOH - 423",5
"EtOH - 438",5
"EtOH - 44|C&S - 3",5
"EtOH - 489",5
"EtOH - 522",5
"EtOH - 9|skeleton - 1",5
"skeleton - 25",5
"C&S - 1|skeleton - 1|EtOH - 4",4
"C&S - 10",4
"EtOH - 10|skeleton - 2",4
"EtOH - 11|C&S - 4",4
"EtOH - 16|skeleton - 1",4
"EtOH - 17|skeleton - 1",4
"EtOH - 17|skeleton - 2",4
"EtOH - 18|C&S - 5",4
"EtOH - 19|skeleton - 1",4
"EtOH - 2|skeleton - 3",4
"EtOH - 20|C&S - 3",4
"EtOH - 20|C&S - 4",4
"EtOH - 21|C&S - 5",4
"EtOH - 21|skeleton - 2",4
"EtOH - 22|C&S - 1",4
"EtOH - 22|C&S - 3",4
"EtOH - 22|C&S - 4",4
"EtOH - 23|C&S - 1",4
"EtOH - 26|C&S - 5",4
"EtOH - 26|skeleton - 1",4
"EtOH - 27|C&S - 1",4
"EtOH - 281",4
"EtOH - 283",4
"EtOH - 29|C&S - 1",4
"EtOH - 3|C&S - 3",4
"EtOH - 30|C&S - 3",4
"EtOH - 309",4
"EtOH - 31|C&S - 1",4
"EtOH - 31|C&S - 2",4
"EtOH - 322",4
"EtOH - 324",4
"EtOH - 327",4
"EtOH - 33|C&S - 4",4
"EtOH - 336",4
"EtOH - 338",4
"EtOH - 34|C&S - 6",4
"EtOH - 340",4
"EtOH - 343",4
"EtOH - 35|C&S - 3",4
"EtOH - 357",4
"EtOH - 358",4
"EtOH - 36|C&S - 3",4
"EtOH - 361",4
"EtOH - 365",4
"EtOH - 369",4
"EtOH - 386",4
