"dwc.scientificName","freq"
"Acanthostracion quadricornis",30
"Alestes",30
"Anchoa",30
"Ancistrus triradiatus",30
"Cichlidae",30
"Esox",30
"Esox masquinongy",30
"Etheostoma coosae",30
"Etheostoma squamiceps",30
"Lutjanus apodus",30
"Membras vagrans",30
"Notropis zonistius",30
"Paramormyrops batesii",30
"Percina copelandi",30
"Petrocephalus sullivani",30
"Phenacogrammus altus",30
"Sander canadense",30
"Scomberomorus maculatus",30
"Trichiurus lepturus",30
"Xenomystus nigri",30
"Barbus guirali",29
"Clinostomus funduloides funduloides",29
"Etheostoma podostemone",29
"Lepisosteus platyrhincus",29
"Micropogonias undulatus",29
"Nannocharax fasciatus",29
"Petromyzontidae",29
"Poecilia reticulata",29
"Poecilichthys maculatus",29
"Stomatorhinus patrizii",29
"Synodontis batesii",29
"Amphilius cryptobullatus",28
"Chrysichthys",28
"Ivindomyrus opdenboschi",28
"Lampetra lamottei",28
"Malapterurus beninensis",28
"Micralestes",28
"Nocomis effusus",28
"Notropis texanus",28
"Semotilus atromaculatus thoreauianus",28
"Trachinotus carolinus",28
"Barbus lineomaculatus",27
"Belonoglanis tenuis",27
"Clupeidae",27
"Etheostoma jordani",27
"Foetorepus goodenbeani",27
"Haemulon sciurus",27
"Hoplias malabaricus",27
"Leucichthys artedi",27
"Microgadus tomcod",27
"Stenotomus chrysops",27
"Tylochromis lateralis",27
"Xenocharax spilurus",27
"Foetorepus agassizii",26
"Hybopsis aestivalis",26
"Ichthyomyzon greeleyi",26
"Marcusenius ntemensis",26
"Moxostoma carinatum",26
"Mustelus canis",26
"Notropis greenei",26
"Percina palmaris",26
"Pseudocrenilabrus philander",26
"Strongylura",26
"Tylochromis",26
"Bagre marinus",25
"Blennius cristatus",25
"Bryconamericus deuterodonoides",25
"Campylomormyrus tamandua",25
"Etheostoma chlorobranchium",25
"Etheostoma chlorosomum",25
"Etheostoma swaini",25
"Gobiidae",25
"Hybognathus hankinsoni",25
"Hybopsis harperi",25
"Ichthyomyzon bdellium",25
"Labeo cylindricus",25
"Lepisosteus",25
"Menticirrhus americanus",25
"Micropterus",25
"Notropis chrosomus",25
"Noturus albater",25
"Percina oxyrhynchus",25
"Petrocephalus odzalaensis",25
"Phycis",25
"Schilbe grenfelli",25
"Synodontis pleurops",25
"Ammodytes americanus",24
"Barbus holotaenia",24
"Clarias gariepinus",24
"Elassoma",24
"Etheostoma saludae",24
"Gambusia hispaniolae",24
"Lamprichthys tanganicanus",24
"Notropis baileyi",24
"Orthochromis",24
"Parailia congica",24
"Parauchenoglanis punctatus",24
"Petrocephalus sauvagii",24
"Alosa chrysochloris",23
"Ammocrypta pellucida",23
"Balistes capriscus",23
"Brycinus longipinnis",23
"Cottus girardi",23
"Distichodus hypostomatus",23
"Etheostoma fricksium",23
"Etheostoma inscriptum",23
"Hybopsis winchelli",23
"Melanogrammus aeglefinus",23
"Moxostoma aureolum",23
"Moxostoma rhothoecum",23
"Notropis niveus",23
"Parauchenoglanis",23
"Percina macrocephala",23
"Pomolobus aestivalis",23
"Barbus kerstenii",22
"Etheostoma gracile",22
"Fundulus escambiae",22
"Fundulus hybrid",22
"Fundulus stellifer",22
"Ichthyomyzon unicuspis",22
"Merluccius bilinearis",22
"Microgobius gulosus",22
"Mormyrus rume",22
"Moxostoma macrolepidotum macrolepidotum",22
"Mycteroperca microlepis",22
"Notropis scabriceps",22
"Paralichthys lethostigma",22
"Prionotus tribulus",22
"Sphoeroides nephelus",22
"Syngnathus floridae",22
"Ameiurus platycephalus",21
"Brachyhypopomus",21
"Chloroscombrus chrysurus",21
"Cottus kanawhae",21
"Cyprinella leedsi",21
"Distichodus affinis",21
"Distichodus fasciolatus",21
"Erimyzon oblongus claviformis",21
"Gambusia affinis affinis",21
"Hydrolagus colliei",21
"Mesoborus crocodilus",21
"Microsynodontis",21
"Notropis lirus",21
"Notropis trichroistia",21
"Parachanna insignis",21
"Parodon apolinari",21
"Percina gymnocephala",21
"Petrocephalus christyi",21
"Prionotus",21
"Raiamas",21
"Schilbe multitaeniatus",21
"Seriola zonata",21
"Strongylura timucu",21
"Alestes macrophthalmus",20
"Anchoa hepsetus",20
"Auchenoglanis occidentalis",20
"Barbus multilineatus",20
"Campostoma pauciradii",20
"Clupea harengus",20
"Coregonus artedii",20
"Coryphaena hippurus",20
"Cyphomyrus psittacus",20
"Etheostoma whipplei",20
"Gobionellus boleosoma",20
"Hadropterus",20
"Haemulon",20
"Hemitripterus americanus",20
"Hippocampus erectus",20
"Hydrocynus forskahlii",20
"Labidesthes sicculus vanhyningi",20
"Marcusenius leopoldianus",20
"Marcusenius ussheri",20
"Moxostoma poecilurum",20
"Notropis trichroistius",20
"Oligoplites saurus",20
"Opisthonema oglinum",20
"Percina aurantiaca",20
"Phoxinus neogaeus",20
"Pogonias cromis",20
"Rhinichthys osculus",20
"Schilbeodes insignis",20
"Syngnathus scovelli",20
"Aequidens pulcher",19
"Aphredoderus sayanus sayanus",19
"Astyanax metae",19
"Campostoma oligolepis",19
"Chaetostoma milesi",19
"Coregonus artedi",19
"Creagrutus beni",19
"Cyprinella whipplei",19
"Farlowella vittata",19
"Hippoglossoides platessoides",19
"Hyporhamphus unifasciatus",19
"Ictiobus bubalus",19
"Kribia nana",19
"Macrhybopsis storeriana",19
"Nandopsis haitiensis",19
"Noturus marginatus",19
"Oreochromis niloticus",19
"Orthochromis uvinzae",19
"Prionotus evolans",19
"Rhomboplites aurorubens",19
"Roeboides dayi",19
"Semotilus lumbee",19
"Sphyrna tiburo",19
"Symphurus plagiusa",19
"Tilapia sparrmanii",19
"Zaireichthys",19
"Aethiomastacembelus",18
"Barbus radiatus",18
"Bunocephalus",18
"Cetopsorhamdia",18
"Elassoma okefenokee",18
"Enneacanthus",18
"Epinephelus morio",18
"Etheostoma radiosum",18
"Fundulus sciadicus",18
"Gadus morhua",18
"Hypostomus",18
"Labeo weeksii",18
"Lepidiolamprologus elongatus",18
"Leptocottus armatus",18
"Lutjanus",18
"Lutjanus campechanus",18
"Marcusenius stanleyanus",18
"Mesogonistius chaetodon",18
"Moxostoma ariommum",18
"Notropis asperifrons",18
"Oncorhynchus tshawytscha",18
"Opsanus beta",18
"Opsaridium",18
"Peprilus paru",18
"Percina phoxocephala",18
"Pollimyrus isidori",18
"Pteronotropis euryzonus",18
"Squalus acanthias",18
"Synodontis acanthomias",18
"Amphilius nigricaudatus",17
"Amphilius rheophilus",17
"Astyanax bimaculatus",17
"Bathygobius curacao",17
"Boulengeromyrus knoepffleri",17
"Characidium zebra",17
"Chelaethiops",17
"Chiloglanis kazumbei",17
"Echeneis naucrates",17
"Enneacanthus chaetodon",17
"Etheostoma atripinne",17
"Etheostoma rupestre",17
"Gobionellus shufeldti",17
"Haemulon plumieri",17
"Limanda ferruginea",17
"Lophius americanus",17
"Morone",17
"Notropis fumeus",17
"Paraclinus fasciatus",17
"Pellonula",17
"Pelvicachromis taeniatus",17
"Poecilichthys thalassinum",17
"Polyodon spathula",17
"Trichomycterus",17
"Xiphophorus helleri",17
"Acipenser fulvescens",16
"Alosa mediocris",16
"Brachyhypopomus bullocki",16
"Chromidotilapia kingsleyae",16
"Cymatogaster aggregata",16
"Cyprinella camura",16
"Diplectrum formosum",16
"Distichodus decemmaculatus",16
"Etheostoma juliae",16
"Etheostoma lepidum",16
"Eugnathichthys macroterolepis",16
"Gerreidae",16
"Ilisha",16
"Lepisosteus platostomus",16
"Lophopsetta maculata",16
"Megalops atlanticus",16
"Mormyrops",16
"Moxostoma lachneri",16
"Myomyrus macrops",16
"Negaprion brevirostris",16
"Notropis rubrifrons",16
"Phractura longicauda",16
"Polypterus",16
"Prochilodus mariae",16
"Pteronotropis welaka",16
"Salmo fario",16
"Salvelinus alpinus",16
"Schilbe marmoratus",16
"Urophycis chuss",16
"Xiphophorus multilineatus",16
"Barbus martorelli",15
"Caecomastacembelus",15
"Characidium boavistae",15
"Chrysichthys nigrodigitatus",15
"Crenicichla",15
"Cynoscion arenarius",15
"Entosphenus tridentatus",15
"Etheostoma artesiae",15
"Etheostoma blennius",15
"Etheostoma hopkinsi",15
"Etheostoma proeliare",15
"Etheostoma punctulatum",15
"Fundulus kansae",15
"Fundulus notti",15
"Gobiesox strumosus",15
"Haemulon chrysargyreum",15
"Hemichromis bimaculatus",15
"Hydrocynus vittatus",15
"Lamprologus mocquardi",15
"Moxostoma coregonus",15
"Moxostoma grammarion",15
"Notropis pilsbryi",15
"Noturus",15
"Pantodon buchholzi",15
"Petrocephalus bovei",15
"Petrocephalus valentini",15
"Petromyzon",15
"Phago boulengeri",15
"Phenacobius teretulus",15
"Raiamas buchholzi",15
"Salmo gairdnerii",15
"Sebastes marinus",15
"Thymallus arcticus",15
"Albula vulpes",14
"Ammocrypta beani",14
"Amphilius grammatophorus",14
"Amphilius uranoscopus",14
"Bagrus docmak",14
"Barbus camptacanthus",14
"Barbus jae",14
"Barbus paludinosus",14
"Benitochromis batesii",14
"Blepsias cirrhosus",14
"Carpiodes velifer",14
"Chiloglanis igamba",14
"Clypeobarbus pleuropholis",14
"Cyprinodon desquamator",14
"Distichodus antonii",14
"Doumea typica",14
"Eigenmannia",14
"Etheostoma duryi",14
"Etheostoma osburni",14
"Eugerres plumieri",14
"Fundulus rathbuni",14
"Gymnarchus niloticus",14
"Lutjanus synagris",14
"Luxilus chrysocephalus isolepis",14
"Marcusenius kutuensis",14
"Membras",14
"Menticirrhus littoralis",14
"Micralestes humilis",14
"Monacanthus ciliatus",14
"Nomorhamphus",14
"Notropis gilberti",14
"Ogcocephalus radiatus",14
"Oxymormyrus boulengeri",14
"Paramormyrops longicaudatus",14
"Parananochromis",14
"Perissodus microlepis",14
"Petrochromis polyodon",14
"Phoxinus hybrid",14
"Poecilichthys kanawhae",14
"Poecilichthys swaini",14
"Porichthys notatus",14
"Sarotherodon galilaeus",14
"Tilapia rendalli",14
"Alestes liebrechtsii",13
"Ambloplites ariommus",13
"Amphilius pedunculus",13
"Aplocheilichthys spilauchen",13
"Barbus bifrenatus",13
"Barbus eutaenia",13
"Barbus neefi",13
"Brachyhypopomus brevirostris",13
"Brevimyrus niger",13
"Caquetaia kraussii",13
"Carpiodes",13
"Carpiodes carpio",13
"Cheirodon pulcher",13
"Coregonus",13
"Cyclopterus lumpus",13
"Cyprinella caerulea",13
"Cyprinodon brontotheroides",13
"Erimystax insignis",13
"Etheostoma mariae",13
"Etheostoma tippecanoe",13
"Euchilichthys royauxi",13
"Euthynnus alletteratus",13
"Exoglossum laurae",13
"Haemulon aurolineatum",13
"Haplochromis bloyeti",13
"Hemigrammocharax",13
"Hemigrammopetersius",13
"Heterobranchus longifilis",13
"Labrisomus nuchipinnis",13
"Lactophrys trigonus",13
"Luxilus coccogenis",13
"Myoxocephalus thompsonii",13
"Notropis ariommus",13
"Notropis serralatus",13
"Percina bimaculata",13
"Petrochromis orthognathus",13
"Phenacobius catostomus",13
"Pimelodus",13
"Poecilia mexicana",13
"Ptychocheilus oregonensis",13
"Rhabdalestes septentrionalis",13
"Rhizoprionodon porosus",13
"Scartomyzon",13
"Sciaenops ocellatus",13
"Selene setapinnis",13
"Steindachnerina argentea",13
"Sternopygus macrurus",13
"Synodontis nigriventris",13
"Ameiurus brunneus",12
"Artedius fenestralis",12
"Barbus fasciolatus",12
"Barbus luikae",12
"Belonophago hutsebouti",12
"Chaetostoma anomalum",12
"Chasmocranus rosae",12
"Citharinus gibbosus",12
"Clarias pachynema",12
"Cyphomyrus discorhynchus",12
"Cyprinella labrosa",12
"Cyprinella xaenura",12
"Dasyatis",12
"Dasyatis americana",12
"Engraulis mordax",12
"Erimyzon",12
"Esox americanus americanus",12
"Esox hybrid",12
"Etheostoma brevispinum",12
"Eucinostomus jonesi",12
"Genyomyrus donnyi",12
"Hiodon alosoides",12
"Hiodon tergisus",12
"Labeo annectens",12
"Labeo parvus",12
"Lepomis megalotis megalotis",12
"Loricariidae",12
"Microthrissa",12
"Myxine glutinosa",12
"Notropis stonei",12
"Opsanus pardus",12
"Percina",12
"Petrocephalus grandoculis",12
"Pimephales perspicuous",12
"Poecilichthys camurus",12
"Poecilichthys swannanoa",12
"Priacanthus arenatus",12
"Prosopium cylindraceum",12
"Rhinichthys obtusus",12
"Schilbe laticeps",12
"Schilbeodes gilberti",12
"Sphyraena",12
"Sphyraena borealis",12
"Synodontis alberti",12
"Synodontis zambezensis",12
"Xiphophorus pygmaeus",12
"Acanthurus",11
"Alectis ciliaris",11
"Alestes bimaculatus",11
"Alestopetersius hilgendorfi",11
"Aluterus schoepfi",11
"Amphilius longirostris",11
"Barbus afrovernayi",11
"Caranx",11
"Caranx latus",11
"Centropomus undecimalis",11
"Chrysichthys cranchii",11
"Citharichthys arctifrons",11
"Clarias jaensis",11
"Corydoras aeneus",11
"Cottus baileyi",11
"Dormitator maculatus",11
"Eigenmannia virescens",11
"Etheostoma bellum",11
"Etheostoma collis",11
"Etheostoma euzonum",11
"Gobiomorus dormitator",11
"Hemibrycon metae",11
"Hemichromis stellifer",11
"Hippopotamyrus",11
"Hybopsis x-punctata",11
"Ichthyomyzon gagei",11
"Lagocephalus laevigatus",11
"Leucichthys artedii",11
"Lobotes surinamensis",11
"Lopholatilus chamaeleonticeps",11
"Microthrissa congica",11
"Mormyrus tapirus",11
"Myoxocephalus",11
"Nocomis",11
"Noturus funebris",11
"Ocyurus chrysurus",11
"Oncorhynchus mykiss",11
"Ophthalmotilapia ventralis",11
"Oreochromis aureus",11
"Oxydoras",11
"Percina rex",11
"Pollachius virens",11
"Prionace glauca",11
"Remora remora",11
"Rhamdia",11
"Richardsonius balteatus",11
"Roccus chrysops",11
"Salmo",11
"Sparisoma",11
"Spatuloricaria gymnogaster",11
"Sphoeroides spengleri",11
"Sphoeroides testudineus",11
"Squatina dumeril",11
"Stegastes leucostictus",11
"Synodontis notata",11
"Thalassoma duperrey",11
"Tilapia zillii",11
"Tylosurus marinus",11
"Agonostomus monticola",10
"Alestopetersius caudalis",10
"Amphilius",10
"Apteronotus albifrons",10
"Apteronotus leptorhynchus",10
"Brycinus kingsleyae",10
"Catostomus",10
"Centrarchidae",10
"Cetopsorhamdia molinae",10
"Chaetodon capistratus",10
"Characidium",10
"Chrysichthys thysi",10
"Cottus asper",10
"Ctenochromis horei",10
"Distichodus maculatus",10
"Elagatis bipinnulata",10
"Eleotris",10
"Epiplatys chevalieri",10
"Erimystax harryi",10
"Etheostoma nuchale",10
"Etheostoma obeyense",10
"Eucinostomus argenteus",10
"Gambusia",10
"Gephyrocharax valencia",10
"Harengula",10
"Harengula clupeola",10
"Hippocampus zosterae",10
"Hololepis",10
"Hybopsis dorsalis",10
"Labridae",10
"Lampetra appendix",10
"Lasiancistrus mystacinus",10
"Limnotilapia dardenii",10
"Malapterurus",10
"Marcusenius greshoffii",10
"Membras martinica",10
"Micralestes lualabae",10
"Microglanis iheringi",10
"Micropterus pseudaplites",10
"Monacanthus setifer",10
"Moxostoma lachrymale",10
"Moxostoma robustum",10
"Myoxocephalus polyacanthocephalus",10
"Notropis hypsilepis",10
"Noturus nocturnus",10
"Oncorhynchus kisutch",10
"Oxydoras niger",10
"Petrocephalus balayi",10
"Pfrille neogaea",10
"Phenacobius crassilabrum",10
"Pleuronectidae",10
"Poecilia",10
"Poeciliidae",10
"Porogobius schlegelii",10
"Protopterus",10
"Salvelinus hybrid",10
"Scarus guacamaia",10
"Schilbe mystus",10
"Schilbeodes funebris",10
"Selar crumenophthalmus",10
"Sphyraena guachancho",10
"Squalus",10
"Synodontis afrofischeri",10
"Synodontis congica",10
"Thalassoma purpureum",10
"Urophycis regia",10
"Varicorhinus",10
"Varicorhinus mariae",10
"Abudefduf taurus",9
"Adontosternarchus",9
"Aluterus schoepfii",9
"Amphilius frieli",9
"Astyanax integer",9
"Atopochilus savorgnani",9
"Barbus brevidorsalis",9
"Barbus perince",9
"Barbus prionacanthus",9
"Bembrops heterurus",9
"Brotula barbata",9
"Brycinus grandisquamis",9
"Bryconamericus beta",9
"Campylomormyrus alces",9
"Campylomormyrus elephas",9
