"dwc.preparations","freq"
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 3",4
"tissue (95% ethanol) - 10; tissue (95% ethanol) - 1; whole organism (ethanol) - 3; tissue (95% ethanol) - 1",4
"tissue (95% ethanol) - 10; whole organism (ethanol) - 14",4
"tissue (95% ethanol) - 10; whole organism (ethanol) - 3; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",4
"tissue (95% ethanol) - 10; whole organism (ethanol) - 6",4
"tissue (95% ethanol) - 10; whole organism (ethanol) - 6; tissue (95% ethanol) - 1",4
"tissue (95% ethanol) - 2; whole organism (ethanol) - 2",4
"Unknown - 1; photograph - 1",4
"whole organism (C & S) - 1; whole organism (isopropanol) - 3",4
"whole organism (C & S) - 2; whole organism (isopropanol) - 2",4
"whole organism (C & S) - 3; whole organism (isopropanol) - 11",4
"whole organism (C & S) - 5; whole organism (isopropanol) - 5",4
"whole organism (ethanol) - 10; tissue (95% ethanol) - 10; tissue (95% ethanol) - 1",4
"whole organism (ethanol) - 19; tissue (95% ethanol) - 10",4
"whole organism (ethanol) - 3; EOD Recording - 1",4
"whole organism (ethanol) - 3; tissue (95% ethanol) - 10; tissue (95% ethanol) - 1",4
"whole organism (ethanol) - 48",4
"whole organism (ethanol) - 62",4
"whole organism (ethanol) - 68",4
"whole organism (ethanol) - 7; tissue (95% ethanol) - 10",4
"whole organism (ethanol) - 70",4
"whole organism (ethanol) - 73",4
"whole organism (ethanol) - 8; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",4
"whole organism (ethanol) - 86",4
"whole organism (ethanol) - 93",4
"whole organism (isopropanol) - 168",4
"whole organism (isopropanol) - 173",4
"whole organism (isopropanol) - 177",4
"whole organism (isopropanol) - 187",4
"whole organism (isopropanol) - 19; photograph - 1",4
"whole organism (isopropanol) - 194",4
"whole organism (isopropanol) - 198",4
"whole organism (isopropanol) - 206",4
"whole organism (isopropanol) - 207",4
"whole organism (isopropanol) - 208",4
"whole organism (isopropanol) - 209",4
"whole organism (isopropanol) - 211",4
"whole organism (isopropanol) - 213",4
"whole organism (isopropanol) - 217",4
