"dwc.scientificName","freq"
"Notropis atherinoides dilectus",22
"Roccus chrysops",22
"Stizostedion",22
"Elassoma zonatum",21
"Esox masquinongy",21
"Lepisosteus platostomus",21
"Lota lota maculosa",21
"Notemigonus chrysoleucas",21
"Notropis chrysocephalus × rubellus",21
"Ameiurus nebulosus nebulosus",20
"Luxilus chrysocephalus × cornutus",20
"Microgadus tomcod",20
"Moxostoma poecilurum",20
"Noturus albater",20
"Rhinichthys artratulus",20
"Ammocrypta pellucida pellucida",19
"Apeltes quadracus",19
"Aplodinotus grunnieins",19
"Noturus insignis",19
"Noturus leptacanthus",19
"Centrarchus macropterus",18
"Erimyzon sucetta kennerlii",18
"Macrhybopsis hyostoma",18
"Oncorhynchus tshawytscha",18
"Sander vitreus",18
"Ambloplites ariommus",17
"Carpiodes carpio carpio",17
"Erimystax x-punctatus trautmani",17
"Etheostoma aquali",17
"Gambusia puncticulata",17
"Lepomis punctatus",17
"Luxilus chrysocephalus × Notropis rubellus",17
"Micropterus coosae",17
"Nocomis bigutattus",17
"Notropis shumardi",17
"Noturus elegans",17
"Polyodon spathula",17
"Alosa sapidissima",16
"Coregonus clupeaformis latus",16
"Cottus immaculatus",16
"Lepisosteus osseus oxyurus",16
"Luxilus cornutus intergrade",16
"Opsopoeodus emiliae emiliae",16
"Phenecobius mirabilis",16
"Rhinichthys cataractae cataractae",16
"Etheostoma duryi",15
"Etheostoma squamiceps",15
"Etheostoma swaini",15
"Exoglossum maxillingua",15
"Hybopsis x-punctatus",15
"Lythrurus umbratilus",15
"Notropis anogenus",15
"Salvelinus confluentus",15
"Tautoga onitis",15
"Thymallus arcticus",15
"Ammocrypta clara",14
"Cyprinella callistia",14
"Etheostoma fusiforme",14
"Hybognathus argyritis",14
"Hybopsis expunctatus trautmani",14
"Menidia beryllina",14
"Menidia menidia",14
"Notropis cornutus × chrysocephalus",14
"Notropis longirostris",14
"Coregonus artedi",13
"Cottus asper",13
"Couesius plumbeus",13
"Cyprinella analostana",13
"Etheostoma radiosum",13
"Etheostoma tennesseense",13
"Fundulus sciadicus",13
"Leuciscus neogaeus",13
"Mugil cephalus",13
"Myoxocephalus aenaeus",13
"Prionotus evolans",13
"Salmo clarki clarki",13
"Salmo salar",13
"Boleosoma nigrum",12
"Campostoma",12
"Coregonus clupeaformis",12
"Etheostoma asprigene",12
"Etheostoma bison",12
"Etheostoma blennius",12
"Etheostoma flavum",12
"Etheostoma uniporum",12
"Lythrurus",12
"Morone saxatilis × chrysops",12
"Notropis dorsalis dorsalis",12
"Notropis emiliae",12
"Pleuronectes putnami",12
"Poecilia latipinna",12
"Catonotus flabellare flabellare",11
"Enneacanthus gloriosus",11
"Etheostoma kennicotti",11
"Etheostoma lynceum",11
"Etheostoma nigrum eulepis",11
"Etheostoma whipplei",11
