"dwc.scientificName","freq"
"Synodus myops",10
"Tautogolabrus adspersus",10
"Trachinotus falcatus",10
"Vinciguerria nimbaria",10
"Acanthostracion quadricornis",9
"Alepisaurus ferox",9
"Argentina striata",9
"Benthodesmus tenuis",9
"Caranx latus",9
"Dasyatis say",9
"Etheostoma stigmaeum",9
"Eucinostomus gula",9
"Eustomias",9
"Exoglossum laurae",9
"Fistularia tabacaria",9
"Fundulus catenatus",9
"Gasterosteus aculeatus",9
"Gonichthys cocco",9
"Haemulon sciurus",9
"Halosaurus guentheri",9
"Harengula jaguana",9
"Harriotta raleighana",9
"Hybopsis hypsinotus",9
"Ichthyomyzon bdellium",9
"Lagocephalus laevigatus",9
"Liparis liparis",9
"Melamphaes",9
"Moxostoma duquesnii",9
"Nesiarchus nasutus",9
"Parasudis truculenta",9
"Parexocoetus brachypterus",9
"Penopus microphthalmus",9
"Percina notogramma MONTUOSA",9
"Pholis gunnellus",9
"Polymetme corythaeola",9
"Scopeloberyx",9
"Spectrunculus grandis",9
"Acromycter perturbator",8
"Ammodytes americanus",8
"Ariosoma balearicum",8
"Barathrodemus manatinus",8
"Bathysaurus mollis",8
"Carassius auratus",8
"Carcharhinus falciformis",8
"Carcharhinus obscurus",8
"Cheilopogon heterurus",8
"Chloroscombrus chrysurus",8
"Coelorinchus occa",8
"Coryphaena hippurus",8
"Ctenogobius boleosoma",8
"Dactylopterus volitans",8
"Diaphus problematicus",8
"Etheostoma maculatum",8
"Gobiosoma ginsburgi",8
"Haemulon aurolineatum",8
"Hiodon alosoides",8
"Isurus oxyrinchus",8
"Loweina",8
"Melanocetus murrayi",8
"Melanostomias bartonbeani",8
"Micropterus",8
"Moxostoma ariommum",8
"Mustelus canis",8
"Nocomis biguttatus",8
"Notropis ariommus",8
"Notropis scepticus",8
"Ophidion grayi",8
"Pristigenys alta",8
"Promethichthys prometheus",8
"Scomber scombrus",8
"Serranus phoebe",8
"Sphoeroides spengleri",8
"Vinciguerria attenuata",8
"Acipenser fulvescens",7
"Ameiurus platycephalus",7
"Argyropelecus hemigymnus",7
"Astroscopus y-graecum",7
"Bathypterois longipes",7
"Bathytroctes",7
"Centrobranchus nigroocellatus",7
"Clupea harengus",7
"Coelorinchus caelorhincus CARMINATUS",7
"Conocara salmoneum",7
"Diodon holocanthus",7
"Erimyzon sucetta",7
"Esox lucius",7
"Etheostoma camurum",7
"Etheostoma nigrum OLMSTEDI",7
"Etheostoma vulneratum",7
"Etropus rimosus",7
"Haemulon plumierii",7
"Heteropriacanthus cruentatus",7
"Lampanyctus crocodilus",7
"Limanda ferruginea",7
"Lipogenys gillii",7
"Lobianchia gemellarii",7
"Lophodolos acanthognathus",7
"Megalops atlanticus",7
"Menticirrhus littoralis",7
"Morone chrysops",7
"Nannobrachium cuprarium",7
"Notacanthus chemnitzii",7
"Opsanus beta",7
"Pagrus pagrus",7
"Paralichthys albigutta",7
"Phenacobius uranops",7
"Poecilia latipinna",7
"Raja senta",7
"Regalecus glesne",7
"Rouleina attrita",7
"Scorpaena calcarata",7
"Sebastes norvegicus",7
"Stomias affinis",7
"Strongylura notata",7
"Thunnus",7
"Upeneus parvus",7
"Acipenser baerii",6
"Alepisaurus",6
"Amblyraja radiata",6
"Ameiurus melas",6
"Argentina silus",6
"Astronesthes similus",6
"Bothus ocellatus",6
