"dwc.scientificName","freq"
"Pomacanthus paru",8
"Pontinus longispinis",8
"Pristipomoides aquilonaris",8
"Pristis pectinata",8
"Scorpaenichthys marmoratus",8
"Serranidae",8
"Serrivomer beanii",8
"Siphateles bicolor",8
"Sphoeroides spengleri",8
"Stegastes adustus",8
"Sternoptyx pseudobscura",8
"Syngnathus pelagicus",8
"Syngnathus scovelli",8
"Thymallus arcticus",8
"Trachinotus goodei",8
"Umbra limi",8
"Vinciguerria sp.",8
"Acanthurus tractus",7
"Anthias tenuis",7
"Antimora rostrata",7
"Aplatophis chauliodus",7
"Apogon pseudomaculatus",7
"Argentina striata",7
"Astroscopus guttatus",7
"Bonapartia pedaliota",7
"Bothidae",7
"Catostomus sp.",7
"Caulolatilus cyanops",7
"Chaetodon auriga",7
"Coccorella atlantica",7
"Coptodon zillii",7
"Corniger spinosus",7
"Cubiceps pauciradiatus",7
"Cyprinella trichroistia",7
"Diaphus perspicillatus",7
"Diplacanthopoma brachysoma",7
"Diplectrum bivittatum",7
"Engraulis eurystole",7
"Equetus lanceolatus",7
"Etheostoma duryi",7
"Etheostoma flavum",7
"Etheostoma histrio",7
"Etmopterus bullisi",7
"Etrumeus teres",7
"Eugerres plumieri",7
"Floridichthys carpio",7
"Ginglymostoma cirratum",7
"Hippocampus sp.",7
"Hoplunnis diomediana",7
"Hybopsis winchelli",7
"Ichthyomyzon gagei",7
"Jordanella floridae",7
"Kaupichthys hyoproroides",7
"Lactophrys trigonus",7
"Lactophrys triqueter",7
"Lepisosteus platostomus",7
"Lestrolepis intermedia",7
"Letharchus velifer",7
"Lutjanus mahogoni",7
"Luxilus cardinalis",7
"Monolene sessilicauda",7
"Moronidae hybrid Morone chrysops x saxatilis?",7
"Myrichthys breviceps",7
"Nannobrachium lineatum",7
"Nettenchelys exoria",7
"Nicholsina usta",7
"Notropis amabilis",7
"Notropis atrocaudalis",7
"Notropis dorsalis",7
"Notropis harperi",7
"Notropis heterolepis",7
"Notropis wickliffi",7
"Ogcocephalus rostellum",7
"Otophidium omostigmum",7
"Percina shumardi",7
"Percopsis omiscomaycus",7
"Polydactylus octonemus",7
"Polyipnus asteroides",7
"Pomadasys crocro",7
"Porichthys porosissimus",7
"Priacanthus hamrur",7
"Prionotus alatus",7
"Prionotus rubio",7
"Ptychocheilus grandis",7
"Rajidae",7
"Remora osteochir",7
"Saurenchelys cognita",7
"Sparisoma sp.",7
"Sphyraena borealis",7
"Symbolophorus rufinus",7
"Symphurus civitatium",7
"Symphurus marginatus",7
"Synaphobranchus affinis",7
"Thunnus albacares",7
"Torpedo nobiliana",7
"Trachurus lathami",7
"Tylosurus crocodilus",7
"Xiphophorus hellerii",7
"Alepisaurus ferox",6
"Amblyraja radiata",6
